,Read Length,Mean Fragment Length,Fragment Length Std. Dev.,Read 2 Slope Normal Mean,Read 2 Slope Normal Std. Dev.
38,50,450,100,1404.0389728138575,111.21171848283429
39,50,450,125,1407.0464174589624,130.61378160575657
40,50,450,150,1407.8266921793436,154.56801986110213
41,50,450,175,1410.9473785911573,177.33999645452798
42,50,500,25,1453.6043730088766,57.364546007408855
43,50,500,50,1454.7441100861884,70.21239548929213
44,50,500,75,1455.3937221354902,88.82041564752579
45,50,500,100,1459.1172963994684,109.38072168951315
46,50,500,125,1457.3063288377182,134.11141089314808
47,50,500,150,1456.7449686660946,161.74028664053512
48,50,500,175,1458.937188602892,173.98260960454274
49,100,200,25,1128.37354074696,62.41922476969992
50,100,200,50,1127.5329680314212,75.22706020175762
51,100,200,75,1132.7590591885894,90.57644828942068
52,100,200,100,1138.0399795715116,105.48660523788072
53,100,200,125,1146.1982505503074,119.0575744384438
54,100,200,150,1160.4564287715316,130.28771131827736
55,100,200,175,1170.6967624609385,141.83917951851546
56,100,250,25,1180.30494928381,61.367689217648326
57,100,250,50,1179.9144795710233,74.21799333930949
58,100,250,75,1181.8958231191887,89.1021490602154
59,100,250,100,1181.0925743985754,107.84966060399536
60,100,250,125,1188.7715026898416,126.45317887851856
61,100,250,150,1196.2109186056175,143.42938284639825
62,100,250,175,1210.936660589892,159.7478995812148
63,100,300,25,1228.1340105533775,62.010685508252536
64,100,300,50,1229.7163941371825,74.6833407030619
65,100,300,75,1230.8895316350574,94.28844516867063
66,100,300,100,1228.4926310551446,112.82898851246843
67,100,300,125,1234.5372562257326,133.3718210542611
68,100,300,150,1237.9100014775272,152.62509653542298
69,100,300,175,1250.449868904961,165.46381461339962
70,100,350,25,1278.752518415091,62.509441344445754
71,100,350,50,1279.466006014315,75.05568762433829
72,100,350,75,1281.93305664682,92.6857362322222
73,100,350,100,1280.7931962117934,112.55054953045848
74,100,350,125,1279.8256955956067,134.8863458861982
75,100,350,150,1286.4114514708356,151.49987887196838
76,100,350,175,1288.388333376367,173.23863947691018
77,100,400,25,1328.62712604623,62.18203436747153
78,100,400,50,1329.945754955643,75.1753460027467
79,100,400,75,1330.0686757559,91.89671122953226
80,100,400,100,1332.0377216952513,112.94019847054399
81,100,400,125,1332.7924070201966,133.64570349250582
82,100,400,150,1334.4990644350953,158.56046469005778
83,100,400,175,1340.9507390472565,180.38041248771415
84,100,450,25,1378.6306424181548,62.547226776952066
85,100,450,50,1377.6017118068798,75.58351777351318
86,100,450,75,1379.5009407127427,90.01295296279034
87,100,450,100,1380.8129396756103,112.3459849551658
88,100,450,125,1381.1448633578675,135.70877097931955
89,100,450,150,1381.0601467325212,160.0670087323947
90,100,450,175,1383.2770611843964,181.1144138353034
91,100,500,25,1427.5664459018897,62.64897271823775
92,100,500,50,1428.9718235679038,75.5222209658497
93,100,500,75,1433.3983784366778,91.3680607576085
94,100,500,100,1430.0715133988833,113.56089572834304
95,100,500,125,1433.1693909061735,135.05154987487742
96,100,500,150,1429.6815875802195,155.98097493871478
97,100,500,175,1436.3925421606675,178.32780253752563
98,150,200,25,1104.3582715102684,70.06684818920644
99,150,200,50,1105.1877372032268,79.53899669209999
100,150,200,75,1111.3970856361034,91.76757620035423
101,150,200,100,1122.4798183291118,101.31345283784121
102,150,200,125,1128.809892148377,113.81800662502351
103,150,200,150,1142.895381162082,125.03063429841637
104,150,200,175,1155.3976986690354,139.55963648622807
105,150,250,25,1153.248116207252,71.09438294662384
106,150,250,50,1155.2498665561486,81.81576365263281
107,150,250,75,1154.6457359752435,97.4655894154476
108,150,250,100,1162.969044277047,110.12046064852288
109,150,250,125,1168.3065638349824,126.0287554327938
110,150,250,150,1177.1529060133755,138.36206525328691
111,150,250,175,1190.4053046337638,150.0906245986669
112,150,300,25,1204.8476942069813,70.34635295111396
113,150,300,50,1203.6403427726539,82.00415178882348
114,150,300,75,1205.1307758846167,98.50641023725224
115,150,300,100,1207.546990644684,115.19615830683792
116,150,300,125,1212.1102419901833,133.0590418387941
117,150,300,150,1217.4704151897886,149.01046633463582
118,150,300,175,1231.8066751590875,165.12280850997772
119,150,350,25,1253.5918327267368,71.46676408476752
120,150,350,50,1254.1027135470972,81.15292467594058
121,150,350,75,1256.1769981446473,99.61037480169986
122,150,350,100,1256.3616844228966,117.25524974369544
123,150,350,125,1256.5775761666769,140.16082519761804
124,150,350,150,1260.6124180521874,154.24797300860638
125,150,350,175,1268.4042499745306,174.2244796428904
126,150,400,25,1303.1139436874064,71.01850745482969
127,150,400,50,1304.9856866261446,81.28466812145562
128,150,400,75,1305.9963573577236,97.90065871854992
129,150,400,100,1305.5674043643633,116.95118312453181
130,150,400,125,1306.7549410591682,141.23833131978716
131,150,400,150,1308.2245470952194,160.06044079587687
132,150,400,175,1311.0567087025333,182.33183502896634
133,150,450,25,1353.9447575057718,70.22287790121207
134,150,450,50,1354.797699939844,81.73512433115572
135,150,450,75,1357.7553879835775,98.28531788268192
136,150,450,100,1354.9030939785575,119.3443313435795
137,150,450,125,1355.169848519113,136.99954283009978
138,150,450,150,1359.5942182156066,162.9910179469191
139,150,450,175,1363.6896816140675,176.88217633364573
140,150,500,25,1404.8299751716088,69.98138490687955
141,150,500,50,1403.9777937654515,81.60037555800382
142,150,500,75,1404.186716791162,98.56530962270337
143,150,500,100,1404.823905642831,120.46870510819079
144,150,500,125,1406.962777869244,139.84445536040286
145,150,500,150,1404.5016916575885,163.66410576455763
146,150,500,175,1413.4711459060059,183.73307093724858
147,200,200,25,1084.2544704696124,79.2910594243599
148,200,200,50,1088.913667670636,83.79414342166952
149,200,200,75,1098.9889315212638,91.5133533650742
150,200,200,100,1107.1661261418885,101.78477858257556
151,200,200,125,1117.8092959128767,111.96033547688549
152,200,200,150,1133.0190157963368,121.36346100612921
153,200,200,175,1148.5223999443795,136.9267351935788
154,200,250,25,1128.2579261814176,82.89730738512881
155,200,250,50,1132.281856328584,91.37131618716549
156,200,250,75,1135.8568788486907,100.73996147187857
157,200,250,100,1144.0986094567302,110.03215314682669
158,200,250,125,1152.216374454984,122.98685203218632
159,200,250,150,1158.753556130814,134.5245206793469
160,200,250,175,1177.0046357342292,150.8399603889969
161,200,300,25,1179.2822779760602,82.94914060764876
162,200,300,50,1177.4386136382534,93.15306471674393
163,200,300,75,1179.5115593328348,105.83721155777997
164,200,300,100,1184.915599668574,121.08777493469178
165,200,300,125,1189.5311191583664,132.946879129422
166,200,300,150,1197.510571463279,147.16799882433358
167,200,300,175,1210.229835930307,163.8126471244237
168,200,350,25,1229.2111347824555,83.02027666782591
169,200,350,50,1230.2524211813595,92.05104500503894
170,200,350,75,1229.661368219438,106.65839868040463
171,200,350,100,1229.8715601227032,124.08997014941738
172,200,350,125,1237.0563352689398,139.88574305901406
173,200,350,150,1238.5442154238378,155.54146795305755
174,200,350,175,1248.895648566606,171.44112528476435
175,200,400,25,1278.0355127147207,82.72545601723606
176,200,400,50,1278.0023913595205,92.9118873162973
177,200,400,75,1280.531412657028,106.7964480231339
178,200,400,100,1280.2766315139493,125.24829958324169
179,200,400,125,1280.891664504264,145.60714368506862
180,200,400,150,1284.1671284527056,162.80688914800913
181,200,400,175,1289.9575771186558,181.32517314846862
182,200,450,25,1328.1507111527733,83.20723654389494
183,200,450,50,1328.62465662994,91.6286172919194
184,200,450,75,1330.7442839507796,107.9969273978401
185,200,450,100,1330.3834410212621,124.62923608566332
186,200,450,125,1330.050858673026,145.08662377311862
187,200,450,150,1336.6282154250605,167.07939377477018
188,200,450,175,1338.6282083367232,182.01296334520646
189,200,500,25,1377.6590803184195,82.94379806010225
190,200,500,50,1378.7127619375333,92.29024170504509
191,200,500,75,1382.2103595153656,106.2486337690046
